tax:product_type,sku,post_title,post_status,visibility,tax_status,tax_class,stock_status,backorders,weight,length,width,height,regular_price,tax:product_cat,tax:product_shipping_class,parent_sku,upsell_skus,crosssell_skus,menu_order,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Data,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Data,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Data,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Data,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Data,Attribute 5 Global
variation,TT-01-ARESIL-M1-1KG,,publish,hidden,taxable,,instock,,1.00,,,,56.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 100-110,0|1|1,0
variation,TT-01-ARESIL-M2-1KG,,publish,hidden,taxable,,instock,,1.00,,,,54.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 120,0|1|1,0
variation,TT-01-ARESIL-M3-1KG,,publish,hidden,taxable,,instock,,1.00,,,,34.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 325,0|1|1,0
variation,TT-01-ARESIL-M4-1KG,,publish,hidden,taxable,,instock,,1.00,,,,46.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 40-50,0|1|1,0
variation,TT-01-ARESIL-M5-1KG,,publish,hidden,taxable,,instock,,1.00,,,,46.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 50,0|1|1,0
variation,TT-01-ARESIL-M6-1KG,,publish,hidden,taxable,,instock,,1.00,,,,46.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 60-70,0|1|1,0
variation,TT-01-ARESIL-M8-1KG,,publish,hidden,taxable,,instock,,1.00,,,,44.00,,,TT-01-ARESIL,,,,F_ClaveProdServ,11111701,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,Tipo,Malla 80-90,0|1|1,0
variable,TT-01-ARESIL,Arena Sílica,publish,visible,taxable,,,,,,,,,Cargas,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-01-BETJUD-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,710.00,,,TT-01-BETJUD,,,,F_ClaveProdServ,11111500,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-01-BETJUD-50G,,publish,hidden,taxable,,instock,,0.05,,,,45.00,,,TT-01-BETJUD,,,,F_ClaveProdServ,11111500,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,50 g,0|1|1,0,,,,
variable,TT-01-BETJUD,Betún de Judea,publish,visible,taxable,,,,,,,,,Cargas,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-01-BLACUB-1KG,,publish,hidden,taxable,,instock,,1.00,,,,300.00,,,TT-01-BLACUB,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-01-BLACUB-12KG,,publish,hidden,taxable,,instock,,0.50,,,,150.00,,,TT-01-BLACUB,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1/2 Kg,0|1|1,0,,,,
variable,TT-01-BLACUB,Blanco Cubriente,publish,visible,taxable,,,,,,,,,Cargas,,,,,,,,,,,,,,,,,,,,,,,,,
simple,TT-01-BLABAR-50G,Blanco de Barita,publish,visible,taxable,,instock,,0.05,,,,55.00,Cargas,,,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,50 g,0|1|1,0,,,,
variation,TT-01-BLAPLA-1KG,,publish,hidden,taxable,,outofstock,,1.00,,,,6085.00,,,TT-01-BLAPLA,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-01-BLAPLA-12KG,,publish,hidden,taxable,,instock,,0.50,,,,3040.00,,,TT-01-BLAPLA,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1/2 Kg,0|1|1,0,,,,
variation,TT-01-BLAPLA-110ML,,publish,hidden,taxable,,instock,,0.14,,,,895.00,,,TT-01-BLAPLA,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,110 ml,0|1|1,0,,,,
variation,TT-01-BLAPLA-30ML,,publish,hidden,taxable,,instock,,0.04,,,,260.00,,,TT-01-BLAPLA,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,30 ml,0|1|1,0,,,,
variable,TT-01-BLAPLA,Blanco de Plata,publish,visible,taxable,,,,,,,,,Cargas,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-01-BLATIT-1KG,,publish,hidden,taxable,,instock,,1.00,,,,244.00,,,TT-01-BLATIT,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-01-BLATIT-12KG,,publish,hidden,taxable,,instock,,0.50,,,,122.00,,,TT-01-BLATIT,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1/2 Kg,0|1|1,0,,,,
variable,TT-01-BLATIT,Blanco de Titanio,publish,visible,taxable,,,,,,,,,Cargas,,,,,,,,,,,,,,,,,,,,,,,,,
variation,TT-01-BLAZIN-1KG,,publish,hidden,taxable,,instock,,1.00,,,,284.00,,,TT-01-BLAZIN,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1 Kg,0|1|1,0,,,,
variation,TT-01-BLAZIN-12KG,,publish,hidden,taxable,,instock,,0.50,,,,142.00,,,TT-01-BLAZIN,,,,F_ClaveProdServ,12352100,0|0|0,0,F_Unidad,Pieza,0|0|0,0,F_ClaveUnidad,H87,0|0|0,0,Presentación,1/2 Kg,0|1|1,0,,,,
